Kod producenta;ean;id JMK;Producent;Bieżnik;Sezon;Rodzaj;nazwa;szerokosc;profil;srednica;Indeks prędkości 1;Indeks Prędkości 2;Indeks Nośność 1;Indeks Nośność 2;Zamiennik;System;Magazyn 1 ilosc;Magazyn 2 ilosc;Cena detal netto;Cena klient netto;Opór toczenia;Przyczepność;Hałas Klasa;Hałas dB;Dot;Konstrukcja;Masa brutto;EPRELURL;Informacje_dodatkowe
05153280000;4019238662443;80319;Continental;Conti CrossTrac HS3 ;;ciężarowe;OPONA 385/65R22.5 Conti CrossTrac HS3  160K/158L ON/OFF 3PMSF FRONT Continental (C,B,B,72dB);385;65;22.5;K;L;160;158;;;2;2;3345,00;2007,00;C;B;B;72dB;;R;0 kg;;
05211850000;4019238062144;72923;Continental;HD3+ CONTI ECOPLUS;;ciężarowe;OPONA 315/60R22.5 HD3+ CONTI ECOPLUS 152/148L 3PMSF M+S DRIVE Continental (B,C,A,73dB);315;60;22.5;;L;152;148;;;1;1;3572,00;1821,72;B;C;A;73dB;;R;60 kg;;
05225280000;4019238078077;85832;Continental;HD5 CONTI ECO;;ciężarowe;OPONA 315/70R22.5 HD5 CONTI ECO 154/150L/152/148M 3PMSF M+S DRIVE Continental (B,C,A,73dB);315;70;22.5;;;154/150L;152/148M;;;8;8;3313,00;1954,67;B;C;A;73dB;;R;64 kg;https://eprel.ec.europa.eu/qr/777615;
05322380000;4019238062885;76815;Continental;HT3+ CONTI HYBRID;;ciężarowe;OPONA 385/55R19.5 HT3+ CONTI HYBRID 156J 3PMSF M+S TRAILER Continental (B,C,A,70dB);385;55;19.5;J;;156;;;;9;9;3645,00;2059,42;B;C;A;70dB;;R;63 kg;;
05322730000;4019238071139;92997;Continental;CONTI HYBRID HT5;;ciężarowe;OPONA 385/65R22.5 CONTI HYBRID HT5 164K RFID 3PMSF M+S TRAILER Continental (B,B,A,70dB);385;65;22.5;K;;164;;;TRAILER;7;7;3097,00;1811,74;B;B;A;70dB;;R;75,4 kg;;
05322760000;4019238071283;81009;Continental;CONTI HYBRID HT3+;;ciężarowe;OPONA 445/45R19.5 CONTI HYBRID HT3+ 160J/22PR FR 3PMSF M+S TRAILER Continental (B,C,B,72dB);445;45;19.5;J;;160;22PR;;;4;4;3590,00;1938,60;B;C;B;72dB;;R;70 kg;;
05322770000;4019238071276;81035;Continental;HT3+ CONTI HYBRID;;ciężarowe;OPONA 435/50R19.5 HT3+ CONTI HYBRID 160J 3PMSF M+S TRAILER Continental (B,C,B,73dB);435;50;19.5;J;;160;;;;12;12;3416,00;1895,88;B;C;B;73dB;;R;0 kg;;
05740150000;4019238026016;58837;Continental;MPT81;;przemysłowe;OPONA 365/80R20 MPT81 152K TL Continental;365;80;20;K;;152;;;TL LR-G;1;1;3769,00;2751,37;;;;;;R;0;;
06202050000;0440000055776;68923;Continental;TRACTOR MASTER;;rolnicze;OPONA 600/65R28 TRACTOR MASTER 154D/157A8 TL Continental;600;65;28;D;A8;154;157;;;1;1;8000,00;5200,00;;;;;;R;0 kg;;
06700030000;4019238052435;70629;Continental;COMPACTMASTER EM;;rolnicze;OPONA 17.5R24 (460/70r24) COMPACTMASTER EM 159A8/159B TL Continental;17.5;;24;A8;B;159;159;460/70r24;;10;10;4300,00;2795,00;;;;;;R;0 kg;;
07003620000;4019238135565;1340;Continental;IC10;;przemysłowe;OPONA 4.00-8 IC10 97A5/10PR TT Continental;4.00;;8;A5;;97;10PR;;;1;1;269,00;196,37;;;;;;-;2,58 kg;;
07003700000;0440000110215;3024;Continental;IC10;;przemysłowe;OPONA 5.00-8 IC10 8PR/106A5 TT Continental;5.00;;8;;A5;8PR;106;;;6;6;368,00;268,64;;;;;;-;0;;
07004220000;0440000002541;1280;Continental;IC10;;przemysłowe;OPONA 7.00-12 IC10 16PR/136A5 TT Continental;7.00;;12;;A5;16PR;136;;;2;2;830,00;605,90;;;;;;-;0 kg;;
07006640000;0440000124915;92945;Continental;IC12;;przemysłowe;OPONA 300-15 IC12 165A5/22PR Continental;300;;15;A5;;165;22PR;;;1;1;900,00;657,00;;;;;2018;-;0;;
07020880000;0440000055615;1248;Continental;IC40;;przemysłowe;OPONA 18X7-8 (180/70-8) IC40 125A5/16PR TT Continental;18X7;;8;A5;;125;16PR;180/70-8;;6;6;580,00;423,40;;;;;;-;0 kg;;
07021060000;0440000055639;3906;Continental;IC40;;przemysłowe;OPONA 6.50-10 IC40 128A5/14PR Continental;6.50;;10;A5;;128;14PR;;;4;4;711,00;519,03;;;;;;-;15 kg;;
07021220000;0440000055646;3481;Continental;IC40;;przemysłowe;OPONA 7.00-12 IC40 136A5/16PR TT Continental;7.00;;12;A5;;136;16PR;;;4;4;977,00;713,21;;;;;;-;0 kg;;
07021360000;0440000055653;3482;Continental;IC40;;przemysłowe;OPONA 27X10-12 (250/75-12) IC40 152A5/20PR TT Continental;27X10;;12;A5;;152;20PR;250/75-12;;2;2;1718,00;1254,14;;;;;;-;0 kg;;
07021800000;0440000002701;3483;Continental;IC40;;przemysłowe;OPONA 28X9-15 IC40 146A5/14PR TT Continental;28X9;;15;A5;;146;14PR;;;4;4;1365,00;996,45;;;;;;-;0;;
07022640000;0440000055677;1251;Continental;IC40;;przemysłowe;OPONA 300-15 IC40 165A5/22PR TT Continental;300;;15;A5;;165;22PR;;;6;6;2291,00;1672,43;;;;;;-;0;;
07022760000;0440000056063;3029;Continental;IC40;;przemysłowe;OPONA 8.25-15 IC40 18PR/153A5 TT Continental;8.25;;15;;A5;18PR;153;;;1;1;1914,00;1397,22;;;;;;-;0;;
07300500000;0440000079697;3484;Continental;IC40;;przemysłowe;OPONA 23X9-10 (225/75-10) IC40 142A5/20PR TT Continental;23X9;;10;A5;;142;20PR;225/75-10;;4;4;1040,00;759,20;;;;;;-;0 kg;;
07423000000;0440000002640;33056;Continental;IC40;;przemysłowe;OPONA 355/65-15 IC40 170A5/24PR TL Continental;355;65;15;A5;;170;24PR;;;2;2;3352,00;2446,96;;;;;;-;0;;
10000674;0440000109264;86509;Alliance;AGRISTAR II;;rolnicze;OPONA 210/95R16 AGRISTAR II 106D TL Alliance;210;95;16;D;;106;;;;2;2;800,00;520,00;;;;;;R;28 kg;;
10001929;0440000112974;88268;Alliance;FORESTAR 345;;leśne;OPONA 28L-26 FORESTAR 345 20PR/177A2/165A6 TL Alliance;28L;;26;;;20PR;177A2/165A6;;;1;1;13668,00;8884,20;;;;;;-;0 kg;;
10004368;0440000128203;94064;Alliance;372 AGRIFLEX+;;rolnicze;OPONA 620/70R26 372 AGRIFLEX+ 173D VF TL Alliance;620;70;26;D;;173;;;;2;2;7795,80;5067,27;;;;;;R;0;;
100054;3528701000541;29597;Michelin;XMCL;;przemysłowe;OPONA 340/80R18 (12.5/80R18) XMCL 143A8/143B TL Michelin;340;80;18;A8;B;143;143;12.5/80R18;;2;2;4531,00;2378,77;;;;;;R;0 kg;;
100374-33;0440000008581;67643;Galaxy;BEEFY BABY R-4;;przemysłowe;OPONA 18-22.5 BEEFY BABY R-4 18PR TL Galaxy;18;;22.5;;;18PR;;;;5;5;3550,00;2343,00;;;;;;-;0;;
1011204690000;8590341007346;916;Mitas;NB41;;ciężarowe;OPONA 10.00-20 NB41 16PR ALL POSITION Mitas;10.00;;20;;;16PR;;;;1;1;1590,00;1049,40;;;;;;-;46,6 kg;;
1011206320000;8590341007230;949;Mitas;NB59;;przemysłowe;OPONA 11.00-20 NB59 16PR TT Mitas;11.00;;20;;;16PR;;;;4;4;1982,00;1308,12;;;;;;-;50 kg;;
1011304470000;8590341006875;1098;Mitas;MPT04;;przemysłowe;OPONA 10.5-20 MPT04 10PR TL Mitas;10.5;;20;;;10PR;;;;2;2;1650,00;1089,00;;;;;;-;30 kg;;
1011304930000;8590341006851;969;Mitas;MPT05;;przemysłowe;OPONA 10.5-20 MPT05 10PR TL Mitas;10.5;;20;;;10PR;;;;1;1;1480,00;976,80;;;;;;-;30 kg;;
1011307930000;8590341110978;64812;Mitas;MPT01;;przemysłowe;OPONA 340/80-20 (12.5-20) MPT01 133B TL Mitas;340;80;20;B;;133;;12.5-20;;1;1;1362,00;898,92;;;;;;-;50 kg;;
1011312300000;8590341111487;44906;Mitas;MPT04;;przemysłowe;OPONA 360/85-20 (14.5-20) MPT04 12PR TL Mitas;360;85;20;;;12PR;;14.5-20;;2;2;2650,00;1749,00;;;;;;-;0;;
1011312750000;8590341006585;27632;Mitas;MPT05;;przemysłowe;OPONA 14.5-20 MPT05 12PR TL Mitas;14.5;;20;;;12PR;;;;3;3;2500,00;1650,00;;;;;;-;58 kg;;
1011313210000;8590341006578;1071;Mitas;MPT03;;przemysłowe;OPONA 14.5-20 MPT03 12PR TL Mitas;14.5;;20;;;12PR;;;;2;2;2500,00;1650,00;;;;;;-;58 kg;;
1011313680000;8590341111494;46007;Mitas;MPT04 IND;;przemysłowe;OPONA 360/85-20 (14.5-20) MPT04 IND 14PR TL Mitas;360;85;20;;;14PR;;14.5-20;;1;1;2807,00;1852,62;;;;;;-;0;;
1012102160000;8590341006356;922;Mitas;NB38 EXTRA ML;;przemysłowe;OPONA 9.00-20 NB38 EXTRA ML 14PR TT Mitas;9.00;;20;;;14PR;;;;1;1;1570,00;1036,20;;;;;;-;38 kg;;
1012303550000;8590341006035;3124;Mitas;EM30;;przemysłowe;OPONA 17.5-25 EM30 16PR TL Mitas;17.5;;25;;;16PR;;;;2;2;4848,00;3199,68;;;;;;-;128 kg;;
1012304140000;0440000124472;92677;Mitas;EM60;;przemysłowe;OPONA 17.5-25 EM60 22PR TL Mitas;17.5;;25;;;22PR;;;;1;1;7100,00;4686,00;;;;;2023;-;128 kg;;
1012305040000;8590341005878;955;Mitas;EM70;;przemysłowe;OPONA 20-24 EM70 12PR TL Mitas;20;;24;;;12PR;;;;2;2;5200,00;3432,00;;;;;;-;139 kg;;
1012305620000;8590341005861;1350;Mitas;EM20;;przemysłowe;OPONA 20.5-25 EM20 16PR TL Mitas;20.5;;25;;;16PR;;;;2;2;6507,00;4294,62;;;;;;-;190 kg;;
1012305850000;8590341005847;1078;Mitas;EM30;;przemysłowe;OPONA 20.5-25 EM30 16PR TL Mitas;20.5;;25;;;16PR;;;;3;3;6877,00;4538,82;;;;;;-;190 kg;;
1012308390000;8590341005564;3362;Mitas;EM60;;przemysłowe;OPONA 26.5-25 EM60 28PR TL Mitas;26.5;;25;;;28PR;;;;1;1;9028,00;5958,48;;;;;;-;370 kg;;
1012308450000;8590341005502;17307;Mitas;EM60;;przemysłowe;OPONA 26.5-25 EM60 32PR TL Mitas;26.5;;25;;;32PR;;;;2;2;9479,00;6256,14;;;;;;-;370 kg;;
1013101720000;8590341004864;3365;Mitas;TI02;;przemysłowe;OPONA 17.5-24 (17.5L-24) TI02 10PR TL Mitas;17.5;;24;;;10PR;;17.5L-24;;1;1;2720,00;1795,20;;;;;;-;85 kg;;
1013102640000;8590341004796;31330;Mitas;TI05 S116;;przemysłowe;OPONA 19.5-24 (19.5L-24) TI05 S116 12PR TL Mitas;19.5;;24;;;12PR;;19.5L-24;;3;3;3466,00;2287,56;;;;;;-;86 kg;;
1013201880000;8590341004598;1904;Mitas;TD02;;rolnicze;OPONA 12.4-28 (320/85-28) TD02 8PR TT Mitas;12.4;;28;;;8PR;;320/85-28;;4;4;1623,00;1071,18;;;;;;-;43 kg;;
1013205490000;8590341050557;1238;Mitas;TD05;;rolnicze;OPONA 14.9-38 (380/85-38) TD05 6PR TT Mitas;14.9;;38;;;6PR;;380/85-38;;2;2;2593,00;1711,38;;;;;;-;80 kg;;
1013309710000;8590341004123;3809;Mitas;IM04;;rolnicze;OPONA 15.0/55-17 IM04 14PR TL Mitas;15.0;55;17;;;14PR;;;;4;4;1340,00;884,40;;;;;;-;30 kg;;
1013311480000;8590341004093;2916;Mitas;IM04;;rolnicze;OPONA 12.5/80-18 (320/80-18) IM04 14PR TT Mitas;12.5;80;18;;;14PR;;320/80-18;;1;1;1191,00;786,06;;;;;;-;48 kg;;
1014101010000;8590341078889;29299;Mitas;SK02;;przemysłowe;OPONA 31X15.50-15 SK02 8PR TL Mitas;31X15.50;;15;;;8PR;;;;1;1;1397,00;922,02;;;;;;-;27 kg;;
1014108020000;8590341106889;44908;Mitas;TR-10 IND;;przemysłowe;OPONA 14-17.5 TR-10 IND 14PR/139B TL Mitas;14;;17.5;;B;14PR;139;;;6;6;1650,00;1089,00;;;;;;-;0;;
1014113220000;8590341066916;1131;Mitas;TR08 HD;;rolnicze;OPONA 600/50-22.5 TR08 HD 156A8/168A8 TL Mitas;600;50;22.5;A8;A8;156;168;;;5;5;3180,00;2098,80;;;;;;-;97 kg;;
1014201480000;8590341003560;872;Mitas;MPT02;;przemysłowe;OPONA 18-19.5 MPT02 156B/16PR TL Mitas;18;;19.5;B;;156;16PR;;;4;4;3264,00;2154,24;;;;;;-;80 kg;;
1014202690000;8590341111722;44133;Mitas;MPT06;;przemysłowe;OPONA 480/65-22.5 (18-22.5) MPT06 16PR TL Mitas;480;65;22.5;;;16PR;;18-22.5;;4;4;3100,00;2046,00;;;;;;-;0;;
1014309870000;8590341003461;3353;Mitas;IM04;;rolnicze;OPONA 19.0/45-17 IM04 14PR TL Mitas;19.0;45;17;;;14PR;;;;15;15;1724,00;1137,84;;;;;;-;41 kg;;
1014503680000;8590341003003;4925;Mitas;TG02;;przemysłowe;OPONA 14.00-24 TG02 16PR TL Mitas;14.00;;24;;;16PR;;;;2;2;3118,00;2057,88;;;;;;-;88 kg;;
1032400;8059971003338;78883;Trelleborg;TM800 HIGH SPEED;;rolnicze;OPONA 540/65R30 TM800 HIGH SPEED 150D/147E TL Trelleborg;540;65;30;D;E;150;147;;;1;1;8600,00;4816,00;;;;;;R;136 kg;;
10336;3286341033618;44156;Dayton;D800M;;ciężarowe;OPONA 315/80R22.5 D800M 156K/150K ON/OFF FRONT Dayton (C,B,1,69dB);315;80;22.5;K;K;156;150;;FRONT ON/OFF;1;1;2700,00;1026,00;C;B;1;69dB;;R;0 kg;;
10371;3286341037111;45607;Bridgestone;RD2;;ciężarowe;OPONA 265/70R19.5 RD2 140M/138M DRIVE Bridgestone (C,B ,2,74dB);265;70;19.5;M;M;140;138;;;8;8;2000,00;1100,00;C;B ;2;74dB;;R;0 kg;;
10372;3286341037210;58473;Bridgestone;RD2;;ciężarowe;OPONA 285/70R19.5 RD2 146M/144M 3PMSF DRIVE Bridgestone (C,C,2,74dB);285;70;19.5;M;M;146;144;;;4;4;2314,00;1295,84;C;C;2;74dB;;R;0;;
10373;3286341037319;49296;Bridgestone;RD2;;ciężarowe;OPONA 245/70R17.5 RD2 136M/134M DRIVE Bridgestone (C,B,2,74dB);245;70;17.5;M;M;136;134;;;4;4;1849,00;1053,93;C;B;2;74dB;;R;0;;
10374;3286341037418;49593;Bridgestone;RD2;;ciężarowe;OPONA 225/75R17.5 RD2 129M/127M 3PMSF DRIVE Bridgestone (C,B,2,74dB);225;75;17.5;M;M;129;127;;;4;4;1566,00;861,30;C;B;2;74dB;;R;0;;
10376;3286341037616;49297;Bridgestone;RS2;;ciężarowe;OPONA 245/70R17.5 RS2 136M/134M FRONT Bridgestone (C,B,1,69dB);245;70;17.5;M;M;136;134;;;4;4;1849,00;1053,93;C;B;1;69dB;;R;0;;
10377;3286341037715;49299;Bridgestone;RS2;;ciężarowe;OPONA 225/75R17.5 RS2 129M/127M 3PMSF FRONT Bridgestone (C,B,1,70dB);225;75;17.5;M;M;129;127;;;2;2;1566,00;908,28;C;B;1;70dB;;R;0;;
10378;3286341037814;41980;Bridgestone;RS2;;ciężarowe;OPONA 215/75R17.5 RS2 128M/126M FRONT Bridgestone (C,C,1,68);215;75;17.5;M;M;128;126;;;2;2;1424,00;811,68;C;C;1;68;;R;0 kg;;
10386;3286341038613;51330;Bridgestone;RT1;;ciężarowe;OPONA 235/75R17.5 RT1 143J/146F 3PMSF TRAILER Bridgestone (C,B,1,68dB);235;75;17.5;J;F;143;146;;;4;4;1806,00;1029,42;C;B;1;68dB;;R;0;;
10452;0440000047788;58274;Bridgestone;VT-TRACTOR;;rolnicze;OPONA 600/65R28 VT-TRACTOR 159D/156E VF TL Bridgestone;600;65;28;D;E;159;156;;;2;2;13614,00;4220,34;;;;;;R;0;;
10456;3286341045611;71111;Bridgestone;VT-TRACTOR;;rolnicze;OPONA 600/70R30 VT-TRACTOR 165D/161E TL Bridgestone;600;70;30;D;E;165;161;;TL NRO;2;2;24639,00;7576,49;;;;;;R;0 kg;;
10474;0440000009632;49479;Firestone;R8000UT;;rolnicze;OPONA 17.5R24 (460/70R24) R8000UT 159A/159B TL Firestone;17.5;;24;A;B;159;159;460/70R24;;8;8;5449,00;1961,64;;;;;;R;0;;
10852;3286341085211;62276;Bridgestone;RT2 DURAVIS;;ciężarowe;OPONA 385/65R22.5 RT2 DURAVIS 160K/158L TRAILER Bridgestone (B,B,1,70dB);385;65;22.5;K;L;160;158;;;20;20;3380,00;1656,20;B;B;1;70dB;;R;76 kg;;
10861;3286341086119;56031;Bridgestone;RT1;;ciężarowe;OPONA 245/70R17.5 RT1 143J/146F 3PMSF TRAILER Bridgestone (C,B,1,69dB);245;70;17.5;J;F;143;146;;;1;1;1948,00;1110,36;C;B;1;69dB;;R;0;;
10862;3286341086218;75674;Bridgestone;HT2 ECOPIA;;ciężarowe;OPONA 445/45R19.5 HT2 ECOPIA 160J 3PMSF M+S TRAILER Bridgestone (B,A,B,72dB);445;45;19.5;J;;160;;;;3;3;3931,00;2162,05;B;A;B;72dB;;R;0 kg;;
1103700;8059971006902;24055;Trelleborg;T404;;rolnicze;OPONA 710/40-22.5 T404 158A8 TL Trelleborg;710;40;22.5;A8;;158;;;;1;1;5200,00;2912,00;;;;;2017;-;0;;
110650;3528701106502;7213;Michelin;XZL;;ciężarowe;OPONA 255/100R16 XZL 126K ON/OFF ALL POSITION Michelin;255;100;16;K;;126;;;;1;1;4753,00;2804,27;;;;;;R;0;;
11082;3286341108217;49307;Firestone;FS411;;ciężarowe;OPONA 265/70R19.5 FS411 140M/138M 3PMSF FRONT Firestone (C,B,1,71dB);265;70;19.5;M;M;140;138;;;2;2;1738,00;1025,42;C;B;1;71dB;;R;0;;
11084;3286341108415;49306;Firestone;FD611;;ciężarowe;OPONA 265/70R19.5 FD611 140M/138M 3PMSF DRIVE Firestone (C,B,1,72dB);265;70;19.5;M;M;140;138;;;4;4;1738,00;1042,80;C;B;1;72dB;;R;0;;
1121182020016KDEP0;0440000121181;90685;JK Tyre;JETSTEEL JDE++;;ciężarowe;OPONA 8.25R20 JETSTEEL JDE++ 137/135K DRIVE JK Tyre;8.25;;20;;K;137;135;;;4;4;910,00;646,10;;;;;;R;30 kg;;
1121190020016KDEP0;0440000120740;90671;JK Tyre;JETSTEEL JDE++;;ciężarowe;OPONA 9.00R20 JETSTEEL JDE++ 142/140K M+S DRIVE JK Tyre (D,B,B,73dB);9.00;;20;;K;142;140;;12PR + DĘTKA;20;20;1140,00;809,40;D;B;B;73dB;;R;0;;
112513;3528701125138;52226;Michelin;X MULTI T;;ciężarowe;OPONA 385/65R22.5 X MULTI T 160K 3PMSF TRAILER Michelin (B,B,1,69dB);385;65;22.5;K;;160;;;;1;1;4066,00;2215,97;B;B;1;69dB;;R;0;;
11467600;0440000008864;69144;Mitas;B17;;rolnicze;OPONA 5.00-10 B17 4PR TT Mitas;5.00;;10;;;4PR;;;;2;2;202,00;133,32;;;;;;-;0 kg;;
11467900;0440000008895;69145;Mitas;B18;;rolnicze;OPONA 6.5/80-12 B18 4PR TT Mitas;6.5;80;12;;;4PR;;;;3;3;266,00;175,56;;;;;;-;0 kg;;
11468000;0440000008888;69140;Mitas;B12;;rolnicze;OPONA 4.00-10 B12 2PR TT Mitas;4.00;;10;;;2PR;;;;1;1;128,00;84,48;;;;;;-;0 kg;;
1147700;8059971011173;5051;Trelleborg;T510;;rolnicze małe;OPONA 15X6.00-6 T510 6PR TT Trelleborg;15X6.00;;6;;;6PR;;;;1;1;209,00;177,65;;;;;;-;3 kg;;
115122942C018LDL30;8906140922702;86766;JK Tyre;JETSTEEL JDL3;;ciężarowe;OPONA 295/60R22.5 JETSTEEL JDL3 150/147L 3PMSF M+S DRIVE JK Tyre (D,B,B,73dB);295;60;22.5;;L;150;147;;;20;20;1260,00;894,60;D;B;B;73dB;;R;0 kg;https://eprel.ec.europa.eu/screen/product/tyres/2190495;
115123142C020LDL30;8906140922252;88168;JK Tyre;JETSTEEL JDL3;;ciężarowe;OPONA 315/60R22.5 JETSTEEL JDL3 152L/148L 3PMSF M+S DRIVE JK Tyre (D,B,B,73dB);315;60;22.5;L;L;152;148;;;20;20;1400,00;994,00;D;B;B;73dB;;R;0 kg;;
115123162C018LDL30;8906140920463;86767;JK Tyre;JETSTEEL JDL3;;ciężarowe;OPONA 315/70R22.5 JETSTEEL JDL3 154L/150J 3PMSF M+S DRIVE JK Tyre (D,B,B,73dB);315;70;22.5;L;J;154;150;;;20;20;1540,00;1093,40;D;B;B;73dB;;R;0 kg;https://eprel.ec.europa.eu/screen/product/tyres/2190501;
115123162C018LL4PU;0440000111502;87629;Celestis;CDL4+;;ciężarowe;OPONA 315/70R22.5 CDL4+ 154L/150J 3PMSF M+S DRIVE Celestis (E,B,B,73dB);315;70;22.5;L;J;154;150;;;20;20;1120,00;795,20;E;B;B;73dB;;R;59 kg;;
115123182C018KDC1U;0440000111519;87630;Celestis;CDC1;;ciężarowe;OPONA 315/80R22.5 CDC1 156K/150J ON/OFF 3PMSF M+S DRIVE Celestis (D,C,B,73dB);315;80;22.5;K;J;156;150;;;20;20;1190,00;844,90;D;C;B;73dB;;R;0 kg;;
115123182C018KDC30;8906140920616;86770;JK Tyre;JETSTEEL JDC3;;ciężarowe;OPONA 315/80R22.5 JETSTEEL JDC3 156K/150J ON/OFF 3PMSF M+S DRIVE JK Tyre (D,C,B,73dB);315;80;22.5;K;J;156;150;;;20;20;1480,00;1050,80;D;C;B;73dB;;R;0 kg;https://eprel.ec.europa.eu/screen/product/tyres/2190503;
115123182C018LDL30;8906140920005;86771;JK Tyre;JETSTEEL JDL3;;ciężarowe;OPONA 315/80R22.5 JETSTEEL JDL3 156L/150J 3PMSF M+S DRIVE JK Tyre (D,B,B,73dB);315;80;22.5;L;J;156;150;;;20;20;1520,00;1079,20;D;B;B;73dB;;R;0 kg;https://eprel.ec.europa.eu/screen/product/tyres/2190503;
115123182C018LL4PU;0440000111526;87631;Celestis;CDL4+;;ciężarowe;OPONA 315/80R22.5 CDL4+ 156L/150J 3PMSF M+S DRIVE Celestis (E,B,B,73dB);315;80;22.5;L;J;156;150;;;20;20;1260,00;894,60;E;B;B;73dB;;R;0 kg;;
115221102C016LTH10;8906140921262;86765;JK Tyre;JETWAY JTH1;;ciężarowe;OPONA 11R22.5 JETWAY JTH1 148L/145L 3PMSF M+S ALL POSITION JK Tyre (D,C,B,72dB);11;;22.5;L;L;148;145;;;1;1;1150,00;816,50;D;C;B;72dB;;R;0 kg;https://eprel.ec.europa.eu/screen/product/tyres/2221342;
115221102C016LUL30;0440000113568;88166;JK Tyre;JETWAY JUL3;;ciężarowe;OPONA 11R22.5 JETWAY JUL3 146L/143L 3PMSF M+S ALL POSITION JK Tyre (D,B,B,72dB);11;;22.5;L;L;146;143;;;18;18;1160,00;823,60;D;B;B;72dB;;R;0 kg;;
115222982C016MUL30;8906140924171;88167;JK Tyre;JETWAY JUL3;;ciężarowe;OPONA 295/80R22.5 JETWAY JUL3 152M/148H 3PMSF M+S FRONT JK Tyre (D,B,B,72dB);295;80;22.5;M;H;152;148;;;20;20;1290,00;915,90;D;B;B;72dB;;R;0 kg;;
115223162C018LUH2U;0440000118952;89908;Celestis;CUH2;;ciężarowe;OPONA 315/70R22.5 CUH2 156/150L 3PMSF M+S FRONT Celestis (D,B,C,73dB);315;70;22.5;;L;156;150;;;20;20;1080,00;766,80;D;B;C;73dB;;R;59 kg;;
115223162C018LUL40;8906140920449;86769;JK Tyre;JETWAY JUL4;;ciężarowe;OPONA 315/70R22.5 JETWAY JUL4 156L/150J 3PMSF M+S FRONT JK Tyre (D,B,B,73dB);315;70;22.5;L;J;156;150;;;1;1;1290,00;915,90;D;B;B;73dB;;R;0 kg;https://eprel.ec.europa.eu/screen/product/tyres/2190502;
115223182C018LUH2U;0440000118860;89907;Celestis;CUH2;;ciężarowe;OPONA 315/80R22.5 CUH2 156/150L 3PMSF M+S FRONT Celestis (D,B,C,73dB);315;80;22.5;;L;156;150;;;20;20;1180,00;837,80;D;B;C;73dB;;R;0 kg;;
